"id","code","name","user_type_id:id","reconcile","chart_template_id:id"
"t100",100,"Kasa","account.data_account_type_liquidity","FALSE","l10n_tr_chart.tr_chart_template"
"t101",101,"Alınan Çekler","account.data_account_type_current_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t102",102,"Bankalar","account.data_account_type_liquidity","FALSE","l10n_tr_chart.tr_chart_template"
"t103",103,"Verilen Çekler ve Ödeme Emirleri (-)","account.data_account_type_current_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t108",108,"Diğer Hazır Değerler","account.data_account_type_current_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t110",110,"Hisse Senetleri","account.data_account_type_current_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t111",111,"Özel Kesim Tahvil Senet Ve Bonoları","account.data_account_type_current_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t112",112,"Kamu Kesimi Tahvil, Senet ve Bonoları","account.data_account_type_current_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t118",118,"Diğer Menkul Kıymetler","account.data_account_type_current_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t119",119,"Menkul Kıymetler Değer Düşüklüğü Karşılığı (-)","account.data_account_type_current_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t120",120,"Alıcılar","account.data_account_type_receivable","TRUE","l10n_tr_chart.tr_chart_template"
"t121",121,"Alacak Senetleri","account.data_account_type_current_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t122",122,"Alacak Senetleri Reeskontu (-)","account.data_account_type_current_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t126",126,"Verilen Depozito ve Teminatlar","account.data_account_type_current_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t128",128,"Şüpheli Ticari Alacaklar","account.data_account_type_current_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t129",129,"Şüpheli Ticari Alacaklar Karşılığı (-)","account.data_account_type_current_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t131",131,"Ortaklardan Alacaklar","account.data_account_type_current_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t132",132,"İştiraklerden Alacaklar","account.data_account_type_current_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t133",133,"Bağlı Ortaklıklardan Alacaklar","account.data_account_type_current_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t135",135,"Personelden Alacaklar","account.data_account_type_current_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t136",136,"Diğer Çeşitli Alacaklar","account.data_account_type_current_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t137",137,"Diğer Alacak Senetleri Reeskontu (-)","account.data_account_type_current_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t138",138,"Şüpheli Diğer Alacaklar","account.data_account_type_current_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t139",139,"Şüpheli Diğer Alacaklar Karşılığı (-)","account.data_account_type_current_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t150",150,"İlk Madde ve Malzeme","account.data_account_type_current_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t151",151,"Yarı Mamuller - Üretim","account.data_account_type_current_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t152",152,"Mamüller","account.data_account_type_current_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t153",153,"Ticari Mallar","account.data_account_type_current_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t157",157,"Diğer Stoklar","account.data_account_type_current_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t158",158,"Stok Değer Düşüklüğü Karşılığı (-)","account.data_account_type_current_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t159",159,"Verilen Sipariş Avansları","account.data_account_type_current_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t180",180,"Gelecek Aylara Ait Giderler","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t181",181,"Gelir Tahakkukları","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t191",191,"İndirilecek Katma Değer Vergisi","account.data_account_type_current_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t192",192,"Diğer Katma Değer Vergisi","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t193",193,"Peşin Ödenen Vergiler Ve Fonlar","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t196",196,"Personel Avansları","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t197",197,"Sayım Ve Tesellüm Noksanları","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t198",198,"Diğer Çeşitli Dönen Varlıklar","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t199",199,"Diğer Dönen Varlıklar Karşılığı (-)","account.data_account_type_expenses","FALSE","l10n_tr_chart.tr_chart_template"
"t220",220,"Alıcılar","account.data_account_type_fixed_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t221",221,"Alacak Senetleri","account.data_account_type_fixed_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t222",222,"Alacak Senetleri Reeskontu (-)","account.data_account_type_fixed_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t226",226,"Verilen Depozito Ve Teminatlar","account.data_account_type_fixed_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t229",229,"Şüpheli Ticari Alacaklar Karşılığı (-)","account.data_account_type_fixed_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t230",230,"Ortaklardan Alacaklar","account.data_account_type_fixed_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t231",231,"İştiraklerden Alacaklar","account.data_account_type_fixed_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t232",232,"Bağlı Ortaklıklardan Alacaklar","account.data_account_type_fixed_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t235",235,"Personelden Alacaklar","account.data_account_type_fixed_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t236",236,"Diğer Çeşitli Alacaklar","account.data_account_type_fixed_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t237",237,"Diğer Alacak Senetleri Reeskontu (-)","account.data_account_type_fixed_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t239",239,"Şüpheli Diğer Alacaklar Karşılığı (-)","account.data_account_type_fixed_assets","FALSE","l10n_tr_chart.tr_chart_template"
"t240",240,"Bağlı Menkul Kıymetler","account.data_account_type_fixed_assets","FALSE","l10n_tr_chart.tr_chart_template"
